date,SPY Buy & Hold,Equal Weight Universe,Top-k Momentum,Top-k Vol-Adjusted Momentum,Ridge Predicted Return,Gradient Boosting Predicted Return
2022-01-18,1.943067747000197,1.7869578497926668,1.8510002322929708,1.7571821230824738,1.5594231255419664,1.840493027947553
2022-01-19,1.9228920047805635,1.7840327091782966,1.8372618413064832,1.7539685262877318,1.5488591733941703,1.8409881164671829
2022-01-20,1.9016091935673543,1.774474191602746,1.8195368158358092,1.7384426799071406,1.5359939759936694,1.8415809215764134
2022-01-21,1.8642793351490887,1.7528017601406214,1.7825838372017242,1.7091083729781194,1.5183034694560857,1.8279498990445724
2022-01-24,1.8721965558304228,1.7540819923260822,1.7819118648155854,1.7172658951664266,1.5281263651767247,1.8169513618108182
2022-01-25,1.8493386666589002,1.7402735996715446,1.757275729644315,1.6988375655418237,1.5086967463828742,1.8074508514782632
2022-01-26,1.8446991653996248,1.7245418908469832,1.7526283349725889,1.6873761480989171,1.494569179160661,1.7910312496878753
2022-01-27,1.8355898333877592,1.7125981792288334,1.7411279271573865,1.6716797953640739,1.4873878676499657,1.7921494743328732
2022-01-28,1.8811776340581468,1.7324862247668469,1.7756955902763818,1.7013359720778498,1.51276946255401,1.8101137808702275
2022-01-31,1.9150601025476683,1.7643603831911285,1.8139179042098441,1.7330456995461223,1.5417577411952748,1.8376383875816498
2022-02-01,1.9279995150045757,1.7737485958882897,1.8278586199711682,1.7413602853673618,1.5489624128636499,1.8513803214669458
2022-02-02,1.9467284330500372,1.7790035283579704,1.8432655510843983,1.753820029914718,1.5497776365674112,1.850240399624566
2022-02-03,1.9009706857614814,1.7488570082418058,1.794191359401875,1.7155457699726953,1.5150250259027032,1.8175358200087768
2022-02-04,1.909909104764986,1.7521707029722084,1.8059664314821509,1.7263302684649693,1.5161236135262266,1.8244894767169966
2022-02-07,1.9037801201073201,1.752518829759858,1.8002206820074649,1.7241142004025924,1.5148820626296633,1.8242923254957517
2022-02-08,1.9194439245731105,1.7644573130140369,1.8149711512742481,1.7370564672617188,1.5257911850766193,1.84555193160747
2022-02-09,1.9475371635855618,1.787644869390442,1.8464411234903233,1.7597691985008426,1.5471827664026891,1.875898254141881
2022-02-10,1.9125481783254306,1.7633899774185937,1.8136246339124618,1.7337277492673375,1.5194019059867951,1.8509268245845132
2022-02-11,1.8748352152236418,1.748794148740879,1.773400417389958,1.7150116976686982,1.505717429362897,1.823159861291872
2022-02-14,1.8687059544544922,1.7422860250957182,1.7683731091319503,1.7169100114363296,1.4983500832104595,1.8148194264108248
2022-02-15,1.8988425565014764,1.7639411770632027,1.8033541739236416,1.734932534431434,1.5184880940709726,1.8539221942068334
2022-02-16,1.9009706857614812,1.7715605113807535,1.806152657215407,1.7413820708158174,1.522416452747795,1.8604051445536929
2022-02-17,1.8603633840326403,1.7504536814027511,1.7656716607900484,1.7196512685410814,1.4980962176801442,1.8240471809502807
2022-02-18,1.8483170541695038,1.7427331327273907,1.7526571560220288,1.7089812849796284,1.4933639824421716,1.8088279569450114
2022-02-22,1.8284817574091745,1.7287866074738496,1.7336923600772853,1.698336418217352,1.4826480114380982,1.785324382283379
2022-02-23,1.7960469414282756,1.7062637775510807,1.7039014495362317,1.67634495205529,1.4539295919884894,1.756693331802557
2022-02-24,1.8230759087271111,1.7148011403986747,1.723916970956768,1.6999273797079648,1.4832423031516726,1.7687705833823495
2022-02-25,1.86330024382817,1.7395393341482874,1.7598688901347574,1.7193295851869637,1.5024052817637354,1.8059639051764331
2022-02-28,1.8585327648962369,1.7406912334034752,1.7489550725698246,1.7255108459786654,1.5169020915089848,1.7989789983245579
